WPointID;longitude;latitude;Name;UsedInOSE;Notes;PostCode;Name_old
330;15.6308;46.3436;Farovec;True;;2318.0;
331;15.6302;46.2986;Hrastovec pod Bočem;True;;2319.0;
332;15.6297;46.2536;Irje;True;;3250.0;
333;15.6292;46.2086;Kamence;True;;3250.0;
334;15.6277;46.0737;Dekmanca;True;;3256.0;
335;15.6266;45.9837;Blatno;True;;8254.0;
336;15.6261;45.9387;Globoko;True;;8254.0;
337;15.6256;45.8937;Brežice-Čatež;True;;8250.0;Terme Čatež
338;15.6992;46.6131;Pesniški Dvor;True;;2211.0;
339;15.6986;46.5681;Vodole;True;;2229.0;
340;15.698;46.5231;Dogoše;True;;2000.0;Maribor - Dogoš
341;15.6974;46.4781;Skoke;True;;2204.0;
342;15.6969;46.4332;Podova;True;;2327.0;
343;15.6963;46.3882;Pragersko;True;;2331.0;
344;15.6957;46.3432;Savinsko;True;;2321.0;
345;15.6946;46.2532;Strmec pri Svetem Florijanu;True;;3252.0;
346;15.6917;46.0283;Bukovje;True;;8259.0;
347;15.7651;46.6577;Spodnja Velka;True;;2213.0;
348;15.7644;46.6127;Zgornje Partinje;True;;2223.0;
349;15.7638;46.5677;Močna;True;;2231.0;
350;15.7632;46.5227;Zgornja Korena;True;;2242.0;
351;15.7625;46.4777;Starše;True;;2205.0;
352;15.7619;46.4328;Prepolje;True;;2206.0;
353;15.7613;46.3878;Pleterje;True;;2324.0;
354;15.7607;46.3428;Slape;True;;2323.0;
355;15.8304;46.6572;Sveta Ana v Slovenskih goricah;True;;2233.0;
356;15.8297;46.6122;Zgornji Žerjavci;True;;2230.0;
357;15.829;46.5672;Lenart v Slovenskih Goricah;True;;2230.0;
358;15.8283;46.5223;Selce;True;;2232.0;
359;15.8277;46.4773;Grajenščak;True;;2250.0;
360;15.827;46.4323;Hajdoše;True;;2288.0;
361;15.8263;46.3873;Sela;True;;2288.0;
362;15.8256;46.3423;Dolena;True;;2323.0;
363;15.8965;46.7017;Črnci;True;;9253.0;
364;15.8957;46.6567;Lešane;True;;9253.0;
365;15.895;46.6117;Benedikt;True;;2234.0;
366;15.8942;46.5667;Sv. Trojica v Slov. goricah;True;;2235.0;
367;15.8935;46.5218;Trnovska vas;True;;2254.0;
368;15.8928;46.4768;Zgornji Velovlek;True;;2250.0;
369;15.892;46.4318;Ptuj;True;;2250.0;Ptuj
370;15.8913;46.3868;Pobrežje;True;;2284.0;
371;15.8906;46.3418;Podlehnik;True;;2286.0;
372;15.9611;46.6562;Police;True;;9250.0;
373;15.9603;46.6112;Gornji Ivanjci;True;;9245.0;
374;15.9595;46.5662;Cerkvenjak;True;;2236.0;
375;15.9579;46.4763;Gabrnik;True;;2256.0;
376;15.9571;46.4313;Dornava;True;;2252.0;
377;15.9563;46.3863;Nova vas pri Markovcih;True;;2281.0;
378;16.0298;46.8355;Sotina;True;;9262.0;Sotina
379;16.0289;46.7905;Večleslavci;True;;9262.0;
380;16.0281;46.7456;Krašči;True;;9261.0;
381;16.0264;46.6556;Male ;True;;9252.0;
382;16.0255;46.6106;Kapelski Vrh;True;;9252.0;
383;16.0247;46.5656;Jamna;True;;9244.0;
384;16.0238;46.5207;Mali Moravšček;True;;9244.0;
385;16.023;46.4757;Bratislavci;True;;2257.0;
